index,Topic_0,Topic_1,Topic_2,Topic_3
Cap_Difu,0.006024096385542169,0.006024096385542169,0.012121212121212121,0.012121212121212121
Cap_Inves,0.02586206896551724,0.02586206896551724,0.02881844380403458,0.04081632653061224
Cap_I,0.026239067055393587,0.026239067055393587,0.029239766081871343,0.04142011834319527
