,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
60,60,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 36.txt
61,61,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 22.txt
62,62,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 34.txt
63,63,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 20.txt
64,64,3,0.9997,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",biocombustible 1.pdf
65,65,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 21.txt
66,66,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 35.txt
67,67,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 19.txt
68,68,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 31.txt
69,69,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 25.txt
70,70,3,0.9995,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",tesis.pdf
71,71,3,0.9997,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",biocombustible 4.pdf
72,72,3,0.9997,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",biocombustible 5.pdf
73,73,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 24.txt
74,74,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 30.txt
75,75,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 18.txt
76,76,3,0.9995,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",artiuclo 2.pdf
77,77,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 26.txt
78,78,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 32.txt
79,79,3,0.9998,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",Investigacion21.txt
80,80,3,0.989,"production, process, biomass, cid, et, al, material, lignin, bioethanol, ethanol",redes 33.txt
81,81,1,0.9995,"center, industrial, agro, economic, national, agriculture, country, cane, international, key",Redes 27.txt
