,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0,1.0,"process, energy, production, fuel, use, resource, ethanol, development, country, coal",Grupo de investigacion 4.txt
1,1,1.0,"cid, bagasse, ethanol, wet, produced, electricity, cellulose, volume, production, lignin",segunda gene 8.pdf
2,2,1.0,"colombia, process, university, production, manuelita, ingenuity, bioethanol, corn, water, ethanol",Bioetanol_Biomasa_Maiz_.pdf
