index,Topic_0,Topic_1,Topic_2
Cap_Difu,0.012121212121212121,0.006024096385542169,0.006024096385542169
Cap_Inves,0.031791907514450865,0.02,0.043859649122807015
Cap_I,0.03225806451612903,0.020289855072463767,0.04451038575667656
